"id","dish_id","ingredient_id","ingredient_name","quantity_cook","quantity"
48644,M0030,NL124,Vani,1.0,
48645,M0030,NL86,Lá dứa,1.0,
48649,M0031,NL20,Cà chua,1.0,
61362,M0076,NL1107,Nước mắm,,
48692,M0039,NL1244,Nước cốt chanh dây,1.0,
48653,M0032,NL129,Táo đỏ táo tàu,5.0,
48654,M0032,NL50,Cải thảo,150.0,
48655,M0032,NL130,Nấm rơm,50.0,
48656,M0032,NL55,Cà rốt,50.0,
48657,M0032,NL41,Hành boaro,50.0,
48658,M0032,NL131,Nước dừa tươi,500.0,
48659,M0033,NL132,Dứa,1.0,
48660,M0033,NL133,Phúc bồn tử,5.0,
48661,M0033,NL134,Hạnh nhân lát,2.0,
48662,M0034,NL136,Cánh gà,4.0,
48663,M0034,NL46,Hành lá,5.0,
48664,M0034,NL53,Nấm mèo,2.0,
48665,M0034,NL55,Cà rốt,0.5,
48667,M0035,NL20,Cà chua,2.0,
48668,M0035,NL119,Hành tím,2.0,
48586,M0020,NL107,Mực lá,100.0,
61621,M0102,NL1107,Nước mắm,,
48672,M0035,NL24,Su hào,1.0,
48673,M0035,NL140,Cần nước,150.0,
48728,M0046,NL130,Nấm rơm búp,50.0,
48621,M0027,NL107,Mực ống,200.0,
48727,M0046,NL107,Mực,100.0,
48677,M0037,NL112,Gạo lứt,2.0,
48679,M0037,NL145,Đậu hũ,0.5,
48680,M0037,NL146,Đậu que,150.0,
48681,M0037,NL147,Khoai môn cau,100.0,
48682,M0037,NL41,Hành boaro,30.0,
48683,M0037,NL148,Lá dứa loại nhỏ,5.0,
48684,M0037,NL116,Sữa tươi không đường,1.0,
48686,M0038,NL75,Giò sống,80.0,
48687,M0038,NL55,Cà rốt,50.0,
48688,M0038,NL3185,Bột xù,1.0,
48690,M0039,NL75,Giò sống,100.0,
48691,M0039,NL151,Đậu bắp,10.0,
48693,M0039,NL76,Hành tỏi phi,2.0,
48647,M0030,NL947,Bơ lạt,10.0,
48695,M0040,NL89,Bí đỏ,100.0,
48699,M0040,NL55,Cà rốt,50.0,
48702,M0041,NL55,Cà rốt,50.0,
48740,M0048,NL1224,Hỗn hợp cải mầm,150.0,
48706,M0042,NL157,Đậu hũ bi,300.0,
48707,M0042,NL113,Ham chay,100.0,
48708,M0042,NL53,Nấm mèo,3.0,
48709,M0042,NL158,Bún tàu,30.0,
48710,M0042,NL111,Nước cốt dừa,2.0,
48712,M0042,NL160,ngò gai,50.0,
48713,M0042,NL161,Đậu phộng,50.0,
48714,M0042,NL41,Hành boaro,1.0,
48715,M0042,NL162,Sả,2.0,
48718,M0044,NL166,Gà ta nửa con,700.0,
48720,M0044,NL119,Hành tím,3.0,
